variant,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_crt_50,hit_1r,hit_2r,hit_3r,mfe_r,mae_r
raw,2026-07-06 02:05:00-04:00,2026-07-06T02:15:33-04:00,EURUSD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.1432491540908813,1.1428571939468384,0.00039196014404296875,stop,False,False,False,False,0.0,-1.0
raw,2026-07-06 02:00:00-04:00,2026-07-06T02:15:33-04:00,US500,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,7551.75,7550.0,1.75,stop,False,False,False,False,0.0,-1.0
raw,2026-07-06 02:05:00-04:00,2026-07-06T02:21:44-04:00,GBPUSD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.334098219871521,1.333760142326355,0.0003380775451660156,stop,False,False,False,False,0.0,-2.74
raw,2026-07-06 02:05:00-04:00,2026-07-06T02:21:45-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,1.4208500385284424,1.4212100505828857,0.0003600120544433594,stop,True,True,False,False,1.25,-1.22
raw,2026-07-06 02:15:00-04:00,2026-07-06T02:25:49-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,1.420799970626831,1.4212900400161743,0.0004900693893432617,stop,False,False,False,False,0.2,-1.02
raw,2026-07-06 02:25:00-04:00,2026-07-06T02:36:06-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_High,bearish_sweep,1.4212199449539185,1.421370029449463,0.0001500844955444336,stop,False,False,False,False,2.8,-1.2
raw,2026-07-06 02:20:00-04:00,2026-07-06T02:36:06-04:00,USTEC,pdh_pdl_sweep,PDH,bearish_sweep,29773.5,29778.5,5.0,stop,,False,False,False,0.25,-4.1
m5_cisd,2026-07-06 02:30:00-04:00,2026-07-06T02:40:13-04:00,EURUSD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.1428571939468384,1.1424654722213745,0.0003917217254638672,stop,False,False,False,False,0.0,-1.0
raw,2026-07-06 02:30:00-04:00,2026-07-06T02:40:13-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_High,bearish_sweep,1.4213000535964966,1.4213999509811401,9.989738464355469e-05,stop,False,False,False,False,4.0,-2.8
raw,2026-07-06 02:05:00-04:00,2026-07-06T02:42:17-04:00,USTEC,pdh_pdl_sweep,PDH,bearish_sweep,29769.25,29797.25,28.0,stop,,False,False,False,0.52,-1.1
