variant,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_crt_50,hit_1r,hit_2r,hit_3r,hit_stdv_2,hit_stdv_2_5,hit_stdv_4,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
raw,2026-07-09 02:10:00-04:00,2026-07-09T02:26:54-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4098.10009765625,4100.5,2.39990234375,stop,False,False,False,False,,,,4002.800537109375,3985.0506591796875,3931.801025390625,-0.0,-2.67,-1.0,50.0,-50.0,4950.0
raw,2026-07-09 02:20:00-04:00,2026-07-09T02:30:57-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4158999919891357,1.4155000448226929,0.0003999471664428711,stop,False,False,False,False,,,,1.4178400039672852,1.4182299971580505,1.4193999767303467,0.05,-2.0,-1.0,50.0,-50.0,4900.0
raw,2026-07-09 02:20:00-04:00,2026-07-09T02:30:58-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.4158999919891357,1.4155000448226929,0.0003999471664428711,stop,False,False,False,False,,,,1.4178400039672852,1.4182299971580505,1.4193999767303467,0.05,-2.0,-1.0,50.0,-50.0,4850.0
raw,2026-07-09 02:30:00-04:00,2026-07-09T03:31:48-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4154599905014038,1.4148999452590942,0.0005600452423095703,all_targets,,True,True,True,,,,1.4204800128936768,1.4214100241661072,1.4242000579833984,3.21,-0.82,3.0,48.5,145.5,4995.5
m5_cisd,2026-07-09 02:40:00-04:00,2026-07-09T05:32:28-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.415809988975525,1.4149999618530273,0.0008100271224975586,all_targets,,True,True,True,,,,1.4204800128936768,1.4214100241661072,1.4242000579833984,3.06,-0.51,3.0,50.0,150.0,5150.0
m5_managed,2026-07-09 05:05:00-04:00,2026-07-09T07:27:45-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4115.7998046875,4127.39990234375,11.60009765625,be_after_partial,False,True,False,False,False,False,False,4002.800537109375,3985.0506591796875,3931.801025390625,1.12,-0.48,0.5,50.0,25.0,5025.0
raw,2026-07-09 07:20:00-04:00,2026-07-09T07:44:00-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7536.75,7540.0,3.25,stop,False,False,False,False,,,,7532.5,7530.875,7526.0,0.38,-1.46,-1.0,49.95,-49.95,4945.55
m5_cisd,2026-07-09 06:50:00-04:00,2026-07-09T07:56:09-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.1425960063934326,1.1431183815002441,0.0005223751068115234,stop,,False,False,False,,,,1.1415504217147827,1.1412237286567688,1.140243649482727,0.25,-1.25,-1.0,51.5,-51.5,5098.5
m5_managed,2026-07-09 06:50:00-04:00,2026-07-09T07:56:09-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.1425960063934326,1.1431183815002441,0.0005223751068115234,stop,,False,False,False,False,False,False,1.1415504217147827,1.1412237286567688,1.140243649482727,0.25,-1.25,-1.0,50.0,-50.0,4975.0
raw,2026-07-09 06:35:00-04:00,2026-07-09T08:06:16-04:00,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,1.1432491540908813,1.1435105800628662,0.0002614259719848633,stop,True,True,True,False,,,,1.1415504217147827,1.1412237286567688,1.140243649482727,3.0,-1.0,-1.0,49.95,-49.95,4895.6
m5_cisd,2026-07-09 05:05:00-04:00,2026-07-09T08:18:28-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,4115.7998046875,4127.39990234375,11.60009765625,stop,False,True,False,False,,,,4002.800537109375,3985.0506591796875,3931.801025390625,1.12,-1.14,-1.0,50.0,-50.0,5048.5
m5_managed,2026-07-09 02:55:00-04:00,2026-07-09T08:30:40-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4160499572753906,1.4148999452590942,0.0011500120162963867,be_after_partial,True,True,True,False,True,True,False,1.4178400039672852,1.4182299971580505,1.4193999767303467,2.53,-0.39,0.5,50.0,25.0,5000.0
m5_managed,2026-07-09 02:55:00-04:00,2026-07-09T08:30:41-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_Low,bullish_sweep,1.4160499572753906,1.4148999452590942,0.0011500120162963867,be_after_partial,True,True,True,False,True,True,False,1.4178400039672852,1.4182299971580505,1.4193999767303467,2.53,-0.39,0.5,50.0,25.0,5025.0
raw,2026-07-09 08:10:00-04:00,2026-07-09T08:36:45-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7546.25,7550.0,3.75,stop,False,False,False,False,,,,7503.5,7495.75,7472.5,0.33,-1.07,-1.0,48.96,-48.96,4846.64
m5_managed,2026-07-09 08:15:00-04:00,2026-07-09T08:42:50-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4121.0,4127.0,6.0,be_after_partial,False,True,False,False,False,False,False,4066.6005859375,4056.20068359375,4025.0009765625,1.03,-0.22,0.5,49.75,24.88,5049.88
m5_cisd,2026-07-09 08:15:00-04:00,2026-07-09T08:46:53-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4121.0,4127.0,6.0,stop,False,True,False,False,,,,4066.6005859375,4056.20068359375,4025.0009765625,1.03,-1.3,-1.0,50.98,-50.98,4997.52
raw,2026-07-09 08:05:00-04:00,2026-07-09T08:48:55-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,4123.0,4129.0,6.0,stop,False,True,False,False,,,,4066.6005859375,4056.20068359375,4025.0009765625,1.37,-1.4,-1.0,48.96,-48.96,4797.68
raw,2026-07-09 09:10:00-04:00,2026-07-09T09:25:27-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4127.2001953125,4128.10009765625,0.89990234375,stop,False,False,False,False,,,,4079.599609375,4070.799560546875,4044.3994140625,-0.0,-7.89,-1.0,47.98,-47.98,4749.7
raw,2026-07-09 09:15:00-04:00,2026-07-09T09:33:37-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4130.5,4134.2998046875,3.7998046875,stop,False,False,False,False,,,,4075.7998046875,4066.0498046875,4036.7998046875,0.55,-1.16,-1.0,47.98,-47.98,4701.72
raw,2026-07-09 09:15:00-04:00,2026-07-09T09:35:39-04:00,US500,crt_range_sweep,CRT_9AM_CRT_9PM_Asia_High,bearish_sweep,7546.75,7549.25,2.5,stop,False,False,False,False,,,,7526.0,7521.25,7507.0,0.7,-1.4,-1.0,47.5,-47.5,4654.22
m5_managed,2026-07-09 08:45:00-04:00,2026-07-09T09:45:46-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7544.75,7554.5,9.75,be_after_partial,False,True,False,False,True,True,False,7532.5,7530.875,7526.0,1.49,-0.9,0.5,50.25,25.12,5075.0
m5_managed,2026-07-09 08:45:00-04:00,2026-07-09T09:45:47-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7544.75,7554.5,9.75,be_after_partial,True,True,False,False,False,False,False,7503.5,7495.75,7472.5,1.49,-0.9,0.5,49.75,24.88,5099.88
m5_cisd,2026-07-09 09:30:00-04:00,2026-07-09T09:45:47-04:00,US500,crt_range_sweep,CRT_9AM_CRT_9PM_Asia_High,bearish_sweep,7535.0,7550.5,15.5,stop,,False,False,False,,,,7526.0,7521.25,7507.0,-0.0,-1.19,-1.0,49.98,-49.98,4947.54
m5_managed,2026-07-09 09:30:00-04:00,2026-07-09T09:45:48-04:00,US500,crt_range_sweep,CRT_9AM_CRT_9PM_Asia_High,bearish_sweep,7535.0,7550.5,15.5,stop,,False,False,False,False,False,False,7526.0,7521.25,7507.0,-0.0,-1.19,-1.0,50.5,-50.5,5049.38
m5_cisd,2026-07-09 08:45:00-04:00,2026-07-09T09:49:51-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7544.75,7554.5,9.75,stop,False,True,False,False,,,,7532.5,7530.875,7526.0,1.49,-1.28,-1.0,51.5,-51.5,4896.04
m5_cisd,2026-07-09 08:45:00-04:00,2026-07-09T09:49:52-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7544.75,7554.5,9.75,stop,True,True,False,False,,,,7503.5,7495.75,7472.5,1.49,-1.28,-1.0,50.48,-50.48,4845.56
raw,2026-07-09 09:45:00-04:00,2026-07-09T10:02:05-04:00,US500,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,7554.75,7562.0,7.25,stop,False,False,False,False,,,,7466.75,7450.875,7403.25,0.38,-1.07,-1.0,46.54,-46.54,4607.68
m5_cisd,2026-07-09 09:50:00-04:00,2026-07-09T10:12:15-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4128.60009765625,4139.60009765625,11.0,stop,False,False,False,False,,,,4079.599609375,4070.799560546875,4044.3994140625,0.09,-1.22,-1.0,49.98,-49.98,4795.58
m5_managed,2026-07-09 09:50:00-04:00,2026-07-09T10:12:16-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4128.60009765625,4139.60009765625,11.0,stop,False,False,False,False,False,False,False,4079.599609375,4070.799560546875,4044.3994140625,0.09,-1.22,-1.0,50.5,-50.5,4998.88
m5_cisd,2026-07-09 09:50:00-04:00,2026-07-09T10:12:17-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4128.60009765625,4139.60009765625,11.0,stop,False,False,False,False,,,,4075.7998046875,4066.0498046875,4036.7998046875,0.09,-1.22,-1.0,49.98,-49.98,4745.6
m5_managed,2026-07-09 09:50:00-04:00,2026-07-09T10:12:17-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4128.60009765625,4139.60009765625,11.0,stop,False,False,False,False,False,False,False,4075.7998046875,4066.0498046875,4036.7998046875,0.09,-1.22,-1.0,50.5,-50.5,4948.38
