variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
m5_cisd,yahoo,2026-07-10 03:30:00-04:00,2026-07-10T03:54:53-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,4123.2001953125,4117.5,5.7001953125,stop,False,False,4130.64990234375,4137.7998046875,4134.3994140625,4137.29931640625,4145.9990234375,0.0,-1.58,-1.0,50.0,-50.0,4950.0
m5_managed,yahoo,2026-07-10 03:30:00-04:00,2026-07-10T03:54:54-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,4123.2001953125,4117.5,5.7001953125,stop,False,False,4130.64990234375,4137.7998046875,4134.3994140625,4137.29931640625,4145.9990234375,0.0,-1.58,-1.0,50.0,-50.0,4950.0
m5_managed,yahoo,2026-07-10 03:20:00-04:00,2026-07-10T03:56:55-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4162800312042236,1.4149999618530273,0.001280069351196289,be_after_partial,True,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.27,-0.53,0.08,50.0,4.0,4954.0
m5_managed,yahoo,2026-07-10 02:25:00-04:00,2026-07-10T07:00:00-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.342822551727295,1.3435803651809692,0.0007578134536743164,breakeven,False,False,1.3405407071113586,1.3381506204605103,1.3427504301071167,1.3426421880722046,1.3423174619674683,2.47,-0.88,0.0,50.0,0.0,4954.0
m5_cisd,yahoo,2026-07-10 02:25:00-04:00,2026-07-10T07:06:06-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.342822551727295,1.3435803651809692,0.0007578134536743164,stop,False,False,1.3405407071113586,1.3381506204605103,1.3427504301071167,1.3426421880722046,1.3423174619674683,2.47,-1.17,-1.0,50.0,-50.0,4900.0
m5_cisd,yahoo,2026-07-10 06:50:00-04:00,2026-07-10T07:10:10-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7587.5,7590.75,3.25,stop,False,False,7582.25,7576.0,7560.0,7555.125,7540.5,0.08,-1.0,-1.0,49.5,-49.5,4850.5
m5_managed,yahoo,2026-07-10 06:50:00-04:00,2026-07-10T07:10:10-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7587.5,7590.75,3.25,stop,False,False,7582.25,7576.0,7560.0,7555.125,7540.5,0.08,-1.0,-1.0,49.54,-49.54,4904.46
m5_cisd,yahoo,2026-07-10 03:20:00-04:00,2026-07-10T08:01:01-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4162800312042236,1.4149999618530273,0.001280069351196289,stop,True,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.69,-1.0,-1.0,50.0,-50.0,4800.5
m5_cisd,yahoo,2026-07-10 07:25:00-04:00,2026-07-10T08:23:36-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7587.5,7591.5,4.0,stop,True,False,7583.125,7574.5,7560.0,7554.625,7538.5,2.56,-2.0,-1.0,48.51,-48.51,4751.99
m5_managed,yahoo,2026-07-10 07:25:00-04:00,2026-07-10T08:23:36-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7587.5,7591.5,4.0,be_after_partial,True,False,7583.125,7574.5,7560.0,7554.625,7538.5,2.56,-2.0,0.547,49.04,26.82,4931.28
m5_cisd,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:49-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,48.01,-48.01,4703.98
m5_managed,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:50-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,49.04,-49.04,4882.24
m5_cisd,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:50-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4159049987792969,1.4169100522994995,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,48.01,-48.01,4655.97
m5_managed,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:51-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4159049987792969,1.4169100522994995,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,49.04,-49.04,4833.2
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:41:56-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4155319595336915,1.4149999618530273,0.0005319976806641424,stop,False,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.0,-2.5,-1.0,50.0,-50.0,4950.0
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:41:57-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4150256037712097,1.4146000146865845,0.00042558908462519973,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.0,-1.94,-1.0,50.0,-50.0,4900.0
